target_rva,name,source_tag,source_sha256,source_rva
0x00B67BC0,ModManager::AddDataEntries,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00A8BBF0
0x00B7ABF0,MultiActivateManager::ProcessEvent,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00ACD450
0x00B7B9C0,MultiActivateMenu::ProcessMessage,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00ACE460
0x00B8EF30,PipboyInventoryMenu::SetQuickkey,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00AE0D30
0x00B90B60,PipboyInventoryMenu::PlayHolotape,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00AE2A30
0x00B93C10,PipboyMenu::PreDisplay,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00AE49B0
0x00BA0450,PipboyWorkshopMenu::UpdateData,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00AEDAB0
0x00BA0450,PipboyWorkshopMenu::UpdateData,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00AEDC40
0x00BA1810,PlayBinkMenu::HandleEvent,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00AEED30
0x00BA3920,PowerArmorModMenu::RegisterMenuComponents,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00AF0500
0x00BA3F70,PowerArmorModMenu::ToggleItemEquipped,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00AF0C30
0x00BA3FE0,PowerArmorModMenu::UpdateModChoiceList,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00AF0CA0
0x00BA91F0,PromptMenu::Call,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00AF31C0
0x00BAB530,RobotModMenu::AdvanceMovie,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00AF50F0
0x00BABDC0,RobotModMenu::UpdateModChoiceList,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00AF5820
0x00BABE10,RobotModMenu::RegisterMenuComponents,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00AF5870
