target_rva,name,source_tag,source_sha256,source_rva
0x00272730,ExtraDataList::ExtraDataList,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00272730
0x00275D90,ExtraDataList::CompareList,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00275D90
0x0027A8E0,ExtraDataList::SetOwnership,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027A8E0
0x0027B120,ExtraDataList::SetHealthPerc,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027B120
0x0027B5E0,ExtraDataList::SetCachedScale,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027B5E0
0x0027B930,ExtraDataList::SetCreatureAwakeSound,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027B930
0x0027C260,ExtraDataList::SetPackageExtra,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027C260
0x0027CDA0,ExtraDataList::SetRunOnceExtraPackage,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027CDA0
0x0027DA50,ExtraDataList::SetOverrideName,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027DA50
0x0027DB30,ExtraDataList::ClearMatchingTextData,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027DB30
0x0027E1D0,ExtraDataList::AddKeywordOverride,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027E1D0
0x0027E310,ExtraDataList::RemoveKeywordOverride,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027E310
0x0027E3E0,ExtraDataList::GetKeywordOverride,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027E3E0
0x0027E5E0,ExtraDataList::SetDisplayNameFromInstanceData,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027E5E0
0x0027E730,ExtraDataList::GetLegendaryMod,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027E730
0x0027ED70,ExtraDataList::GetInstanceData,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027ED70
0x0027EF30,ExtraDataList::SetFavorite,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027EF30
0x0027F050,ExtraDataList::IsFavorite,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027F050
0x0027F9F0,ExtraDataList::GetOwnerFaction,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027F9F0
0x0027FA20,ExtraDataList::GetOwner,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027FA20
0x0027FB80,ExtraDataList::GetOwnedNoCrime,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027FB80
0x0027FC10,ExtraDataList::GetRank,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027FC10
0x0027FDD0,ExtraDataList::GetCount,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027FDD0
0x0027FF70,ExtraDataList::GetCreatureAwakeSound,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027FF70
0x002800D0,ExtraDataList::GetContainerReferenceHandle,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002800D0
0x00280200,ExtraDataList::GetPackageExtraTarget,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00280200
0x00280800,ExtraDataList::IsInRunOnceDayPackageList,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00280800
0x002823C0,ExtraDataList::HasLocationRefType,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002823C0
0x00282AB0,ExtraDataList::GetAshPileRef,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00282AB0
0x00282C20,ExtraDataList::GetLinkedRef,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00282C20
0x00283310,ExtraDataList::CleanUpLinkedRefs,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00283310
0x002847E0,ExtraDataList::GetOpenCloseActivateRef,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002847E0
0x00284810,ExtraDataList::SetOpenCloseActivateRef,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00284810
0x00284970,ExtraDataList::GetLevCreaMultiplier,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00284970
0x00285750,ExtraDataList::SetEncounterZone,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00285750
0x00289AA0,ExtraDataList::SetExtraSayToTopicDialogueItem,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00289AA0
0x0028C540,ExtraDataList::GetAction,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0028C540
0x0028C6B0,ExtraDataList::SetAction,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0028C6B0
0x0028C7C0,ExtraDataList::ClearAction,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0028C7C0
0x0028CE00,ExtraDataList::AddFactionChangesExtra,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0028CE00
0x0028D3C0,ExtraDataList::AddDismembermentExtra,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0028D3C0
0x0028DB50,ExtraDataList::NotifyGuardsAboutActivation,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0028DB50
0x0028DFB0,ExtraDataList::GetFavorCost,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0028DFB0
0x0028E980,ExtraDataList::SetExtraFlag,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0028E980
0x0028EB10,ExtraDataList::GetExtraFlag,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0028EB10
0x0028EF30,ExtraDataList::HasKeyWordOnAlias,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0028EF30
0x0028F1A0,ExtraDataList::HasAlias,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0028F1A0
0x0028F370,ExtraDataList::GetForcedVoiceType,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0028F370
0x0028F570,ExtraDataList::AddPromotedRefOwner,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0028F570
0x00290070,ExtraDataList::GetInteraction,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00290070
0x00290450,ExtraDataList::CreatePowerArmorExtraData,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00290450
0x00290560,ExtraDataList::SetPowerArmorHandle,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00290560
0x002905A0,ExtraDataList::GetPowerArmorHandle,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002905A0
0x00290610,ExtraDataList::GetPowerArmorCollisionGroup,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00290610
0x002906A0,ExtraDataList::GetPowerArmorState,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002906A0
0x00291280,ExtraDataList::SetBendableSplineInfo,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00291280
0x00292970,ExtraDataList::CreateFurnitureEntryData,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00292970
0x00299CE0,ComparisonQualifiers::UIQualifier,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00299CE0
0x0029C620,ExtraKeywords::ExtraKeywords,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0029C620
0x0029C850,ExtraTextDisplayData::ExtraTextDisplayData,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0029C850
0x0029F5F0,ExtraDataList::AddExtra,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0029F5F0
0x002A0030,ExtraDataList::GetExtraData,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002A0030
0x002A0660,ExtraDataList::HasExtra,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002A0660
0x002A15B0,ExtraDataList::RemoveExtra,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002A15B0
0x002A2840,ExtraDismemberedLimbs::Dismember,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002A2840
0x002A2A80,ExtraDismemberedLimbs::GetDismemberedLimb,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002A2A80
0x002A3280,REFR_LOCK::GetLockLevel,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002A3280
0x002A3380,REFR_LOCK::IsBroken,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002A3380
0x002A4270,ExtraPlayerCrimeList::ExtraPlayerCrimeList,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002A4270
0x002A4690,ExtraUsedMarkers::SetMarkerUsed,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002A4690
0x002A4850,ExtraReservedMarkers::ExtraReservedMarkers,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002A4850
0x002A48F0,ExtraReservedMarkers::SetMarkerReserved,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002A48F0
0x002A5290,ExtraLinkedRef::GetLinkedRef,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002A5290
0x002A7D90,ExtraLastFinishedSequence::ExtraLastFinishedSequence,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002A7D90
0x002A8BB0,ExtraFactionChanges::ExtraFactionChanges,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002A8BB0
0x002A8DA0,ExtraFactionChanges::ExpelFromFaction,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002A8DA0
0x002A8E90,ExtraFactionChanges::AddToFaction,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002A8E90
0x002ABC70,ExtraAliasInstanceArray::HasNonStartsEnabledAlias,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002ABC70
0x002AC140,ExtraPromotedRef::RemoveOwner,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002AC140
0x002AC780,ExtraTextDisplayData::SetCustomName,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002AC780
0x002B4A50,ExtraAnimGraphPreload::ReloadWeaponGraph,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002B4A50
0x002C1D80,DoorTeleportData::GetTeleportCell,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002C1D80
0x002CC560,TES::TES,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002CC560
0x002CD890,TES::UpdateCurrentGridCell,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002CD890
0x002D03D0,TES::LoadInterior,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002D03D0
0x002D14C0,TES::GetCellPriority,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002D14C0
0x002D4090,TES::HideLoadingMenu,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002D4090
0x002D71D0,TES::UpdateMultiBoundVisibility,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002D71D0
0x002D77F0,TES::ResetAllMultiBoundNodes,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002D77F0
0x002DD4E0,BSSpinLock::lock,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002DD4E0
0x002DEED0,TESDataHandler::LoadForm,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002DEED0
0x002DF1C0,TESDataHandler::AddFormToDataHandler,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002DF1C0
0x002E4DF0,TESDataHandler::CreateReferenceAtLocation,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002E4DF0
0x002E6880,TESDataHandler::RemoveIDFromDataHandler,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002E6880
0x002E7D00,TESDataHandler::CompileFiles,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002E7D00
